antoine;antoine@gmail.com;1234;admin
tom;tom@gmail.com;12345;admin
manfred;manfred@gmail.com;123456;admin
antoine;antoine@gmail.com;1234;vip
tom;tom@gmail.com;12345;vip
manfred;manfred@gmail.com;123456;vip
antoine;antoine@gmail.com;1234;normal
tom;tom@gmail.com;12345;normal
manfred;manfred@gmail.com;123456;normal
antoine;antoine@gmail.com;1234;normal
tom;tom@gmail.com;12345;normal
manfred;manfred@gmail.com;123456;normal
antoine;antoine@gmail.com;1234;normal
tom;tom@gmail.com;12345;normal
manfred;manfred@gmail.com;123456;normal
antoine;antoine@gmail.com;1234;normal
tom;tom@gmail.com;12345;normal
manfred;manfred@gmail.com;123456;normal
antoine;antoine@gmail.com;1234;normal
tom;tom@gmail.com;12345;normal
manfred;manfred@gmail.com;123456;normal
