renaud;antoine;Taverny;antoine@gmail.com;1234;admin
monteiro alves;tom;Cergy;tom@gmail.com;12345;admin
wallot;manfred;Mantes;manfred@gmail.com;123456;admin
renaud;antoine;Taverny;antoine@gmail.com;1234;vip
monteiro alves;tom;Cergy;tom@gmail.com;12345;vip
wallot;manfred;Mantes;manfred@gmail.com;123456;vip
renaud;antoine;Taverny;antoine@gmail.com;1234;normal
monteiro alves;tom;Cergy;tom@gmail.com;12345;normal
wallot;manfred;Mantes;manfred@gmail.com;123456;normal
renaud;antoine;Taverny;antoine@gmail.com;1234;normal
monteiro alves;tom;Cergy;tom@gmail.com;12345;normal
wallot;manfred;Mantes;manfred@gmail.com;123456;normal
renaud;antoine;Taverny;antoine@gmail.com;1234;normal
monteiro alves;tom;Cergy;tom@gmail.com;12345;normal
wallot;manfred;Mantes;manfred@gmail.com;123456;normal
renaud;antoine;Taverny;antoine@gmail.com;1234;normal
monteiro alves;tom;Cergy;tom@gmail.com;12345;normal
wallot;manfred;Mantes;manfred@gmail.com;123456;normal
renaud;antoine;Taverny;antoine@gmail.com;1234;normal
monteiro alves;tom;Cergy;tom@gmail.com;12345;normal
wallot;manfred;Mantes;manfred@gmail.com;123456;normal
